"","DATE","PLAYER_FULL_NAME","Cluster","points","assists","offensive_rebounds","defensive_rebounds","turnovers","threepointers_made","threepoint_attempts","steals","minutes","fieldgoal_attempts","fieldgoals_made","freethrow_attempts","freethrows_made","fouls","blocks"
"48",2015-04-13,"Jamaal Franklin",0,0,0,0,0,0,0,0,0,0.42,0,0,0,0,0,0
"49",2015-10-30,"James Anderson",0,3,0,0,0,2,1,2,0,4.5,2,1,0,0,0,0
"50",2014-11-12,"James Young",0,3,0,0,0,0,1,1,0,3.52,1,1,0,0,1,0
"51",2015-01-20,"JaMychal Green",0,0,0,0,1,0,0,0,0,1.12,0,0,0,0,1,0
"52",2014-11-02,"Jared Cunningham",0,0,1,0,1,0,0,0,0,10.57,2,0,0,0,2,0
"53",2015-12-27,"Jarell Martin",0,2,0,0,0,0,0,0,0,5.82,3,1,0,0,2,0
"54",2014-11-19,"Jarnell Stokes",0,4,0,1,2,0,0,0,0,8.92,1,1,4,2,3,0
"55",2014-10-29,"Jason Maxiell",0,4,0,1,1,0,0,0,0,12.52,5,2,0,0,2,1
"56",2014-12-22,"Jeff Taylor",0,0,0,0,0,0,0,1,0,5.57,2,0,2,0,2,0
"57",2014-12-01,"Jerami Grant",0,4,0,1,2,0,0,2,1,12.9,6,2,2,0,1,1
"58",2015-04-04,"Jerel McNeal",0,0,1,0,1,2,0,0,0,10.2,2,0,0,0,2,1
"59",2014-11-01,"Jerome Jordan",0,6,0,4,1,1,0,0,0,11.88,3,3,0,0,1,1
"60",2015-03-12,"Jerrelle Benimon",0,0,0,0,0,0,0,0,0,0.38,0,0,0,0,0,0
"61",2014-10-28,"Jimmer Fredette",0,2,2,0,0,0,0,3,1,17.8,6,0,2,2,3,0
"62",2014-11-04,"Joe Harris",0,2,0,0,1,0,0,1,0,4.67,2,1,0,0,0,0
"63",2014-10-30,"Joe Ingles",0,2,2,0,1,1,0,1,0,11.1,2,1,0,0,1,0
"64",2015-10-31,"Joe Young",0,0,0,0,0,1,0,0,0,1.93,0,0,0,0,0,0
"65",2014-10-29,"Joel Freeland",0,0,0,1,1,0,0,0,0,5.67,1,0,0,0,1,1
"66",2014-11-03,"Joey Dorsey",0,0,0,0,0,1,0,0,0,1.43,0,0,0,0,0,0
"67",2015-02-04,"John Lucas III",0,10,6,0,0,0,2,3,0,15.7,6,4,0,0,0,0
"68",2014-12-18,"Johnny O'Bryant",0,6,1,0,1,2,0,0,0,17.22,4,2,2,2,4,0
"69",2014-10-29,"Jon Leuer",0,0,0,0,3,0,0,0,0,19.23,4,0,0,0,1,1
"70",2014-11-17,"Jordan Adams",0,1,1,0,0,0,0,0,1,10,2,0,2,1,1,0
"71",2015-03-01,"Jordan Hamilton",0,0,0,0,0,0,0,0,0,1.62,0,0,0,0,1,0
"72",2015-11-06,"Jordan Mickey",0,3,0,1,0,0,0,0,0,3.28,2,1,1,1,0,1
"73",2016-03-29,"Josh Huestis",0,5,0,1,0,0,1,1,0,15.73,3,2,0,0,1,1
"74",2015-11-10,"Josh Richardson",0,1,2,0,0,0,0,1,1,14.75,1,0,2,1,1,0
"75",2015-10-29,"Justin Anderson",0,5,1,0,6,2,1,5,1,18.37,8,2,0,0,0,1
"76",2016-02-27,"Justin Harper",0,0,0,0,0,0,0,1,0,1.7,1,0,0,0,0,0
"77",2014-11-01,"Justin Holiday",0,0,0,0,0,0,0,0,0,1.72,0,0,0,0,0,0
"78",2015-11-06,"Kelly Oubre",0,7,2,0,2,1,0,4,0,14.43,9,3,3,1,3,0
"79",2015-01-10,"Kenyon Martin",0,0,1,0,0,0,0,0,0,5.5,1,0,0,0,2,0
"80",2014-10-29,"Kevin Seraphin",0,0,1,0,0,0,0,0,0,7.67,2,0,0,0,2,0
"81",2016-02-10,"Kevon Looney",0,3,0,0,0,0,1,1,0,2.2,2,1,0,0,0,0
"82",2014-11-01,"Landry Fields",0,0,0,0,0,0,0,0,0,1.1,1,0,0,0,0,0
"83",2014-10-29,"Lavoy Allen",0,6,2,1,4,0,0,0,1,20.12,5,3,0,0,4,2
"84",2015-04-04,"Lester Hudson",0,4,1,0,3,1,0,1,3,15.13,5,1,2,2,1,0
"85",2014-11-15,"Lou Amundson",0,2,1,1,1,0,0,0,0,9.17,3,1,0,0,0,0
"86",2015-11-05,"Luis Montero",0,3,0,0,0,0,1,1,0,3.57,1,1,0,0,0,0
"87",2014-10-29,"Malcolm Thomas",0,4,0,2,3,2,0,0,0,16.25,2,1,2,2,3,1
"88",2014-12-05,"Markel Brown",0,5,1,0,1,3,0,2,0,13.27,4,1,4,3,0,0
"89",2014-10-28,"Matt Bonner",0,0,0,0,2,0,0,1,0,14.53,2,0,0,0,3,0
"90",2014-11-04,"Meyers Leonard",0,0,0,0,0,0,0,0,0,1.33,0,0,0,0,0,0
"91",2015-02-02,"Mitch McGary",0,0,0,0,0,0,0,0,0,0.9,1,0,0,0,0,0
"92",2014-11-01,"Nate Robinson",0,3,1,0,1,1,1,2,0,13.27,2,1,0,0,1,0
"93",2014-11-20,"Nazr Mohammed",0,0,0,0,0,0,0,0,0,1.22,0,0,0,0,0,0
"94",2014-11-06,"Nick Johnson",0,2,0,0,0,0,0,0,0,3.15,1,0,2,2,1,0
"95",2015-10-30,"Nikola Jokic",0,10,1,3,6,2,0,0,0,18.15,8,5,0,0,3,0
"96",2014-11-17,"Noah Vonleh",0,6,0,0,2,0,1,1,0,6.5,4,2,2,1,1,0
"97",2015-11-03,"Norman Powell",0,2,0,0,1,0,0,1,0,3.08,2,1,0,0,1,0
