"share_minutes_cluster_0","share_minutes_cluster_1","share_minutes_cluster_2","share_minutes_cluster_3","share_minutes_cluster_4","share_minutes_cluster_5","share_minutes_cluster_6","share_minutes_cluster_7","share_minutes_cluster_8","share_minutes_cluster_9","share_minutes_cluster_10","share_minutes_cluster_11","share_minutes_cluster_12","share_minutes_cluster_13","share_minutes_cluster_14","share_minutes_cluster_15","share_minutes_cluster_16","share_minutes_cluster_17","share_minutes_cluster_18","share_minutes_cluster_19","share_minutes_cluster_20","share_minutes_cluster_21","share_minutes_cluster_22","share_minutes_cluster_23","share_minutes_cluster_24","share_minutes_cluster_25","winrate_season_selected_team","winrate_season_opposing_team","game_id","DATE","home_team_name","road_team_name","selected_team","opposing_team","roster","performance"
0,-0.0407466399599071,0,0.0251572558738001,0,-0.0245148151121958,0,0,-0.0379955614164029,0.00233291688028159,0,0.0369894151854588,0,0.00410804796168625,-0.055525310873107,-0.00151445939061085,-0.00240682546482576,-0.0134175922363495,0.0496843751396461,0.00700718727995684,-0.0594442907928502,0.0631878718009817,0,0,0.0413937252130033,0.0115625086199468,0.38720856669674,-0.202725987378348,"2020-02-24aaCdeeiillmMnv",2020-02-24,"Cleveland","Miami","Miami","Cleveland",0.00585780870851222,0.184482579318393
0,-0.0126800823979063,0.0595032570938587,0.0220378803747944,-0.00498951355886136,0.0505857235127685,0,0.110492541014785,-0.263055575086657,0.00500417805580074,0,0.0268124412746892,0,-0.0104801859082186,0,0,-0.0110098541787916,0.013599793506913,-0.00161115827085761,0.00633335873228512,0,-0.073600187322574,0.0279469199716424,0,0,0,0.706690700502286,-0.45260606162338,"2020-02-24aaeeghiiklMnnostuwW",2020-02-24,"Washington","Milwaukee","Milwaukee","Washington",-0.0551104631863292,0.254084638878906
0.026875303748576,-0.0124381347971766,0,0,-0.0122678720756062,0.051045535207923,-0.094501332289273,0,-0.0549579985554598,0,0,0,0,-0.00220422426747671,0,-0.00110095321357447,0.0130384608960954,0,-0.082953155221117,-0.0171459236817532,0,-0.0681369354468864,-0.0189623887558569,0,0,-0.0891333927581311,0.234430131920378,-0.515541282477185,"2020-02-24aBdkllnnoooOrry",2020-02-24,"Brooklyn","Orlando","Orlando","Brooklyn",-0.362843011209717,-0.281111150556806
-0.0419664821972699,0.0214696184952615,0,0.0264531778291363,-0.00157502979914388,-0.0587809369683315,0,0,0.0272185964436169,0.00403606740456255,0.000350392721020544,0,0,-0.0223171170000259,0,-7.55287395291211e-05,0,0.0168017901220192,-0.0623995133342825,0.00864828042623317,0.0950752720330179,-0.0780267150559565,0,0,0.0544110476877209,-0.0656475464673454,0.429514483658071,-0.307304544128698,"2020-02-24aehhinoPtUx",2020-02-24,"Utah","Phoenix","Utah","Phoenix",-0.0763246263992957,0.122209939529373
0,-0.0141350056752478,0,-0.00179836694420259,-0.0147219183853714,0.031051950727214,0.0995228468218452,-0.125143520408481,0.0990645172944057,0,0.000240772413561508,0,0,0,0,-0.000927001321672675,0,-0.000735744642690874,0.0468052398412097,0,0,0.0706831936051237,0.0423913239688192,-0.268864575750238,0,0.0980241261813498,0.522764241489829,-0.602267179548117,"2020-02-25  aaAeeeklLLnNOrrssw",2020-02-25,"LA Lakers","New Orleans","New Orleans","LA Lakers",0.0614578377256244,-0.0795029380582876
-0.0337778484152097,-0.01809411887176,0,0.011061552045133,-0.0105580566939985,-0.0251483170625294,-0.0914097564293033,0,0.145779470440685,0,0.000385361570650572,0,0,0.019254924630102,0,-0.00190902074079926,0,-0.0266681014989052,0,0.00111980304883745,0,0.0711303375096352,-0.00124697745723828,0,0,-0.0449437231601704,0.223452150634315,-0.693737699175598,"2020-02-25 aaacCCghhiiklmooOty",2020-02-25,"Chicago","Oklahoma City","Chicago","Oklahoma City",-0.00502447108487053,-0.470285548541283
0,0.0154935486370664,0,-0.0296949442377328,-0.00930853787367824,0.0262385445331162,-0.0041966834307946,0,-0.0720949695844346,0.0043370736124982,0,0,0,0.0016101174332128,0,0,-0.0159581664518916,-0.00953070158747415,-0.045490379647055,0.00576484482171791,0,0,0.0349587190502244,0,0,0,0.11112539739506,-0.505068934120492,"2020-02-25 aaacdeeeGlmnnoorSSttt",2020-02-25,"Golden State","Sacramento","Golden State","Sacramento",-0.0978715347252252,-0.393943536725432
0.0244854821029667,-0.0280625033078332,-0.0591810965843872,-0.0113928823540693,0,0.0253552658385143,0.0880967161792563,0,0,-0.00616564106987541,0,-0.0285890418587565,0,0.00952997442799394,0,-0.00263100318376981,0,-0.00051909690298644,0.0390098629389169,-0.00596564663976927,0,0,-0.0177080600780474,0,0,-0.0610471734738635,0.255752167656954,-0.309629303493258,"2020-02-25aaaCdehiIlnnortt",2020-02-25,"Indiana","Charlotte","Charlotte","Indiana",-0.0347848439657099,-0.0538771358363037
-0.0282617777102873,0,0,0.0214687128494358,0.0120301444097522,0,0,0,-0.170489424745898,0.000566038773864562,0,0.0348982189598409,0,-0.00151432655775375,0,-0.000156158751635488,-0.0140880961661512,-0.0162147204731597,0.0382282279603537,0.0138051831400001,0.0792372397034476,0.0782356507446287,0.0224138862531802,0,0,0,0.473113239104652,-0.70674970713686,"2020-02-25aBdlnnoooPrstt",2020-02-25,"Portland","Boston","Portland","Boston",0.0701587983896181,-0.233636468032208
-0.0178611854517035,0.0119725590293001,-0.0579115301900785,0,0.0118017870400478,-0.0187801624894354,0.193051612024192,-0.103789777236731,0.211917340227346,-0.0037711502003451,0,0,0,-0.00754103123404012,0,0.00113934650664977,0.0123268983705515,-0.0147326546371094,0.00586733587480092,0.000200480215763914,0,0,0,0,0.0508367504001812,0.0480340837316063,0.77447115035484,-0.748715354286208,"2020-02-25aeeiklMnooortTuw",2020-02-25,"Toronto","Milwaukee","Toronto","Milwaukee",0.322760701980997,0.0257557960686321
