"PLAYER_FULL_NAME","OWN_TEAM","Position","Age","Height","Weight","Salary","Team","injury_status","injury_date","clean_note","return_date","injury_scrape_date"
"Kyle Korver","Utah","SG",37,"6' 7""",212,7560000,"Utah Jazz",NA,NA,NA,NA,NA
"Kyle Kuzma","LA Lakers","PF",23,"6' 9""",220,1689840,"Los Angeles Lakers","Day-To-Day","Feb 6",NA,2019-02-10,2019-02-09
"Kyle Lowry","Toronto","PG",32,"6' 1""",196,31200000,"Toronto Raptors",NA,NA,NA,NA,NA
"Kyle O'Quinn","Indiana","C",28,"6' 10""",250,4449000,"Indiana Pacers",NA,NA,NA,NA,NA
"Kyrie Irving","Boston","PG",26,"6' 3""",193,20099189,"Boston Celtics",NA,NA,NA,NA,NA
"LaMarcus Aldridge","San Antonio","C",33,"6' 11""",260,22347015,"San Antonio Spurs","Day-To-Day","Feb 5",NA,2019-02-10,2019-02-09
"Lance Stephenson","LA Lakers","SG",28,"6' 6""",230,4449000,"Los Angeles Lakers",NA,NA,NA,NA,NA
"Lance Thomas","New York","SF",30,"6' 8""",240,7119650,"New York Knicks",NA,NA,NA,NA,NA
"Landry Shamet","LA Clippers","PG",21,"6' 5""",188,1703649,"Los Angeles Clippers","Day-To-Day","Feb 7",NA,2019-02-10,2019-02-09
"Langston Galloway","Detroit","SG",27,"6' 2""",200,7e+06,"Detroit Pistons",NA,NA,NA,NA,NA
"Larry Nance Jr.","Cleveland","PF",26,"6' 9""",230,2272391,"Cleveland Cavaliers",NA,NA,NA,NA,NA
"Lauri Markkanen","Chicago","PF",21,"7' 0""",240,4536120,"Chicago Bulls",NA,NA,NA,NA,NA
"LeBron James","LA Lakers","SF",34,"6' 8""",250,35654150,"Los Angeles Lakers","Day-To-Day","Feb 9","Game Time Decision",2019-02-10,2019-02-09
"Lonnie Walker IV","San Antonio","SG",20,"6' 5""",205,2357160,"San Antonio Spurs","Day-To-Day","Feb 9","Feb 12",2019-02-12,2019-02-09
"Lonzo Ball","LA Lakers","PG",21,"6' 6""",190,7461960,"Los Angeles Lakers","Out",NA,"Feb 21",2019-02-21,2019-02-09
"Lou Williams","LA Clippers","SG",32,"6' 1""",175,8e+06,"Los Angeles Clippers",NA,NA,NA,NA,NA
"Luc Mbah a Moute","LA Clippers","PF",32,"6' 8""",230,4320500,"Los Angeles Clippers","Out","Feb 8","Feb 11",2019-02-11,2019-02-09
"Luka Doncic","Dallas","SF",19,"6' 7""",218,6560640,"Dallas Mavericks","Day-To-Day","Feb 8",NA,2019-02-10,2019-02-09
