"OWN_TEAM","PLAYER_FULL_NAME","injury_status","injury_date"
"Orlando","D.J. Augustin",NA,NA
"Orlando","Damjan Rudez",NA,NA
"Orlando","Elfrid Payton",NA,NA
"Orlando","Evan Fournier",NA,NA
"Orlando","Jeff Green",NA,NA
"Orlando","Mario Hezonja",NA,NA
"Orlando","Nikola Vucevic",NA,NA
"Orlando","Serge Ibaka",NA,NA
"Orlando","Stephen Zimmerman",NA,NA
"Philadelphia","Dario Saric",NA,NA
"Philadelphia","Ersan Ilyasova","Day-To-Day","Nov 21"
"Philadelphia","Gerald Henderson","Day-To-Day","Nov 23"
"Philadelphia","Hollis Thompson",NA,NA
"Philadelphia","Jahlil Okafor",NA,NA
"Philadelphia","Jerami Grant",NA,NA
"Philadelphia","Joel Embiid","Day-To-Day","Nov 20"
"Philadelphia","Nik Stauskas",NA,NA
"Philadelphia","Richaun Holmes","Day-To-Day","Nov 23"
"Philadelphia","Robert Covington",NA,NA
"Philadelphia","Sergio Rodriguez",NA,NA
"Philadelphia","Timothe Luwawu",NA,NA
"Philadelphia","TJ McConnell",NA,NA
"Phoenix","Alan Williams",NA,NA
"Phoenix","Alex Len",NA,NA
"Phoenix","Brandon Knight",NA,NA
"Phoenix","Devin Booker","Day-To-Day","Nov 21"
"Phoenix","Dragan Bender",NA,NA
"Phoenix","Eric Bledsoe",NA,NA
"Phoenix","Jared Dudley",NA,NA
"Phoenix","Leandro Barbosa",NA,NA
"Phoenix","Marquese Chriss",NA,NA
"Phoenix","PJ Tucker",NA,NA
"Phoenix","TJ Warren","Out","Nov 23"
"Phoenix","Tyler Ulis",NA,NA
"Phoenix","Tyson Chandler","Day-To-Day","Nov 22"
"Portland","Al-Farouq Aminu",NA,NA
"Portland","Allen Crabbe",NA,NA
"Portland","CJ McCollum",NA,NA
"Portland","Damian Lillard",NA,NA
"Portland","Ed Davis",NA,NA
"Portland","Evan Turner",NA,NA
"Portland","Jake Layman",NA,NA
"Portland","Mason Plumlee",NA,NA
"Portland","Maurice Harkless",NA,NA
"Portland","Meyers Leonard",NA,NA
"Portland","Noah Vonleh",NA,NA
"Portland","Pat Connaughton",NA,NA
"Portland","Shabazz Napier",NA,NA
"Sacramento","Anthony Tolliver",NA,NA
"Sacramento","Arron Afflalo",NA,NA
"Sacramento","Ben McLemore",NA,NA
"Sacramento","Darren Collison",NA,NA
"Sacramento","DeMarcus Cousins",NA,NA
"Sacramento","Garrett Temple",NA,NA
"Sacramento","Georgios Papagiannis",NA,NA
"Sacramento","Jordan Farmar",NA,NA
"Sacramento","Kosta Koufos",NA,NA
"Sacramento","Matt Barnes",NA,NA
"Sacramento","Omri Casspi",NA,NA
"Sacramento","Rudy Gay",NA,NA
"Sacramento","Skal Labissiere",NA,NA
"Sacramento","Ty Lawson",NA,NA
"Sacramento","Willie Cauley-Stein",NA,NA
"San Antonio","Bryn Forbes",NA,NA
"San Antonio","Danny Green",NA,NA
"San Antonio","David Lee",NA,NA
"San Antonio","Davis Bertans",NA,NA
"San Antonio","Dewayne Dedmon","Out","Nov 22"
"San Antonio","Jonathon Simmons",NA,NA
"San Antonio","Kawhi Leonard",NA,NA
"San Antonio","Kyle Anderson",NA,NA
"San Antonio","LaMarcus Aldridge","Day-To-Day","Nov 21"
"San Antonio","Manu Ginobili",NA,NA
"San Antonio","Nicolas Laprovittola","Day-To-Day","Nov 21"
"San Antonio","Patty Mills",NA,NA
"San Antonio","Pau Gasol",NA,NA
"San Antonio","Tony Parker","Day-To-Day","Nov 21"
"Toronto","Cory Joseph",NA,NA
"Toronto","DeMar DeRozan",NA,NA
"Toronto","DeMarre Carroll","Day-To-Day","Nov 21"
"Toronto","Jakob Poeltl",NA,NA
"Toronto","Jonas Valanciunas",NA,NA
"Toronto","Kyle Lowry",NA,NA
"Toronto","Lucas Nogueira",NA,NA
"Toronto","Norman Powell",NA,NA
"Toronto","Pascal Siakam",NA,NA
"Toronto","Patrick Patterson",NA,NA
"Toronto","Terrence Ross",NA,NA
"Utah","Boris Diaw",NA,NA
"Utah","Dante Exum",NA,NA
"Utah","Derrick Favors",NA,NA
"Utah","George Hill",NA,NA
"Utah","Gordon Hayward",NA,NA
"Utah","Jeff Withey",NA,NA
"Utah","Joe Ingles",NA,NA
"Utah","Joe Johnson",NA,NA
"Utah","Rodney Hood",NA,NA
"Utah","Rudy Gobert",NA,NA
"Utah","Shelvin Mack",NA,NA
"Utah","Trey Lyles",NA,NA
"Washington","Andrew Nicholson",NA,NA
"Washington","Bradley Beal",NA,NA
"Washington","Jason Smith",NA,NA
"Washington","John Wall",NA,NA
"Washington","Kelly Oubre",NA,NA
"Washington","Marcin Gortat",NA,NA
"Washington","Marcus Thornton",NA,NA
"Washington","Markieff Morris","Day-To-Day","Nov 22"
"Washington","Otto Porter",NA,NA
"Washington","Sheldon McClellan",NA,NA
"Washington","Tomas Satoransky",NA,NA
"Washington","Trey Burke",NA,NA
